symbol,gene,p_value,log2FC,p_adj,significant
ADPRH,207863_at,0.021448843994672367,-0.2408049261751568,0.14369951615552748,False
ADPRM,220606_s_at,0.8889225906929972,-0.026732911206313048,0.9531717476739356,False
ADRA1A,211492_s_at,0.18633220175761742,-0.23096496277523748,0.4591949183548981,False
ADRA1B,207589_at,0.429155808198882,-0.19684375949251454,0.6861012250032779,False
ADRA1D,210960_at,0.16686086557145663,-0.27027067686044326,0.4362128953405412,False
ADRA2A,209869_at,0.00512352644405481,-0.41532186483800615,0.059123531720804416,False
ADRA2B,208544_at,0.8237479201279261,-0.023149126566785583,0.9225006254220043,False
ADRA2C,206128_at,0.04893584084810452,-0.24453618704604452,0.2282204565965494,False
ADRB1,208214_at,0.9384642432792925,-0.015064469980023532,0.9743748619137786,False
ADRB2,206170_at,0.05348815609491722,-0.18142492215785566,0.2400951770242801,False
ADRB3,206812_at,0.44801995018944396,-0.13529689437257275,0.7018086854180231,False
ADRBK1,38447_at,0.27343712846623774,0.16785831931568218,0.5572487255228591,False
ADRBK2,204183_s_at,0.0013002048473320141,-0.4161197472093363,0.02299401953420577,True
ADRM1,201281_at,0.005635881359264703,-0.6110705748016461,0.06261689444183402,False
ADSL,202144_s_at,0.07630174011579893,0.2822596211229076,0.2907372905267352,False
ADSS,221761_at,0.024727161819728217,0.3205019095436086,0.15586786219705825,False
ADTRP,215100_at,0.05457715788083817,-0.24301299099956886,0.24303413450414008,False
AEBP1,201792_at,0.13669934214163984,0.33975109319080765,0.39585073956363365,False
AEN,219361_s_at,0.5435834546341027,0.0613330237082188,0.768619209316055,False
AES,217729_s_at,0.28183446159850556,0.16654664668764774,0.5646292402745603,False
AF007147,215147_at,0.941674271963215,0.012180553517321613,0.9756874786948518,False
AF070581,214078_at,0.9517411001802021,0.01204498520654429,0.9793870386679341,False
AF090939,220612_at,0.36561584431618444,0.13954399147155438,0.635988903895202,False
AF198444,222168_at,0.14669743671542396,-0.22528413204470432,0.41014541810913324,False
AFAP1,203563_at,0.3761890827264711,0.23464268189461013,0.6444288622980833,False
AFF1,215451_s_at,0.02775913165075506,-0.29266070112329956,0.16700345061848584,False
AFF2,216364_s_at,0.02215513912527048,-0.26670877912724933,0.146441800893426,False
AFF3,205735_s_at,0.317537355399198,-0.15399215404353495,0.5967516986050712,False
AFF4,219199_at,0.09277835386267334,-0.3573253447547664,0.3220973108209906,False
AFG3L2,202486_at,0.35052002110179137,0.1800773467905845,0.624147254006309,False
AFM,206840_at,0.004439501549430258,-0.4253425844837402,0.0542651744519772,False
AFP,204694_at,0.9676878107804258,-0.009627426700978603,0.9869095833960468,False
AFTPH,217939_s_at,0.6559390548621105,0.07449654051404409,0.8350734136715081,False
AGA,204332_s_at,0.036033223909609294,0.2712073491909397,0.19380232029652442,False
AGAP1,204066_s_at,0.1641101291189812,0.27276081531217233,0.4327201438517877,False
AGAP10 /// AGAP11 /// AGAP4 /// AGAP5 /// AGAP9 /// BMS1P5 /// CTGLF12P /// LOC101060581,221971_x_at,0.9050481013726733,-0.02562620972738827,0.9610744778348875,False
AGAP11 /// AGAP4 /// AGAP6 /// AGAP7P /// CTGLF12P /// LOC101060581,221850_x_at,0.7414331910367031,-0.04596405187789365,0.8829963290362225,False
